,count,mean,std,min,25%,50%,75%,max
id,45923.0,18898529.649238944,10919223.440996623,2539.0,9436180.0,19525675.0,28912563.0,36487245.0
host_id,45923.0,66326927.16630011,77557776.86240242,2438.0,7724081.0,30283594.0,105506833.5,274321313.0
latitude,45923.0,40.72848832088496,0.05533117417876369,40.49979,40.689235,40.72177,40.76339,40.91306
longitude,45923.0,-73.95073314809572,0.046470718651443456,-74.24442,-73.981925,-73.95437,-73.934315,-73.71299
price,45923.0,119.97031988328288,68.15014770332262,0.0,65.0,100.0,159.0,334.0
minimum_nights,45923.0,6.938070248023866,19.85782282371721,1.0,1.0,2.0,5.0,1250.0
number_of_reviews,45923.0,23.94266489558609,45.31521882352885,0.0,1.0,5.0,24.0,629.0
reviews_per_month,45923.0,1.1077388236831216,1.6126566495805128,0.0,0.05,0.38,1.62,58.5
calculated_host_listings_count,45923.0,6.639701239030551,31.008148265342374,1.0,1.0,1.0,2.0,327.0
availability_365,45923.0,109.3786991267992,130.27939318065552,0.0,0.0,39.0,217.0,365.0
price_zscore,45923.0,5.446313241459732e-17,1.000010887968251,-1.760401556847509,-0.8066148093718724,-0.2930373299619141,0.5727075639005869,3.140594960950378
